tier,formula,k,n,h,eps,solver,lambda_min,lambda_max,kappa,min_converged,max_converged,asym_rel,mass_lambda_min,svds_smin,svds_smax,svds_kappa,svds_checked,l2_err,h1_err,energy_err,cg_iters,solve_converged,assemble_time,solve_time,seed,n_dof_active,n_dof_total,quantity,slope_p,slope_R2
T1,F1,1,8.0,0.125,0.5,S1_lu,0.475348526082431,319.46159445704643,672.0576102126129,True,True,3.433113818613479e-17,,,,,False,0.010340496922329927,0.18854338069919707,0.251453634963946,0.0,True,0.07896424999989904,0.00029600000016216654,12345,28.0,81.0,,,
T1,F1,1,8.0,0.125,0.5,S2_cg_jacobi,0.475348526082431,319.46159445704643,672.0576102126129,True,True,3.433113818613479e-17,,,,,False,,,,30.0,True,0.07896424999989904,0.0018205420001322636,12345,28.0,81.0,,,
T1,F1,1,8.0,0.125,0.5,S3_cg_amg,0.475348526082431,319.46159445704643,672.0576102126129,True,True,3.433113818613479e-17,,,,,False,,,,11.0,True,0.07896424999989904,0.43888458299988997,12345,28.0,81.0,,,
T1,F1,1,16.0,0.0625,0.5,S1_lu,0.1859796424009832,876.1470119995225,4710.983421026788,True,True,3.2178499565936367e-17,,,,,False,0.020590778089671347,0.2828286005006026,0.29662369077960266,0.0,True,0.13960241599988876,0.0005220839998401061,12345,46.0,289.0,,,
T1,F1,1,16.0,0.0625,0.5,S2_cg_jacobi,0.1859796424009832,876.1470119995225,4710.983421026788,True,True,3.2178499565936367e-17,,,,,False,,,,50.0,True,0.13960241599988876,0.0015392499999506981,12345,46.0,289.0,,,
T1,F1,1,16.0,0.0625,0.5,S3_cg_amg,0.1859796424009832,876.1470119995225,4710.983421026788,True,True,3.2178499565936367e-17,,,,,False,,,,13.0,True,0.13960241599988876,0.007814209000116534,12345,46.0,289.0,,,
T1,F1,1,32.0,0.03125,0.5,S1_lu,0.013703324195687917,3924.0279798018128,286355.91800685873,True,True,2.4283010884700813e-17,,,,,False,0.012090953644622392,0.22612205439515967,0.23018985825649804,0.0,True,0.385281458999998,0.00040725000008023926,12345,60.0,1089.0,,,
T1,F1,1,32.0,0.03125,0.5,S2_cg_jacobi,0.013703324195687917,3924.0279798018128,286355.91800685873,True,True,2.4283010884700813e-17,,,,,False,,,,65.0,True,0.385281458999998,0.002290790999722958,12345,60.0,1089.0,,,
T1,F1,1,32.0,0.03125,0.5,S3_cg_amg,0.013703324195687917,3924.0279798018128,286355.91800685873,True,True,2.4283010884700813e-17,,,,,False,,,,16.0,True,0.385281458999998,0.006350874999952794,12345,60.0,1089.0,,,
T1,F1,1,64.0,0.015625,0.5,S1_lu,0.1192912437078744,7603.202032281289,63736.46376678192,True,True,2.869187768290272e-17,,,,,False,0.003610419200763309,0.12806158120670505,0.13101392547045868,0.0,True,1.1061307499999202,0.0003774580000026617,12345,76.0,4225.0,,,
T1,F1,1,64.0,0.015625,0.5,S2_cg_jacobi,0.1192912437078744,7603.202032281289,63736.46376678192,True,True,2.869187768290272e-17,,,,,False,,,,80.0,True,1.1061307499999202,0.002500958000382525,12345,76.0,4225.0,,,
T1,F1,1,64.0,0.015625,0.5,S3_cg_amg,0.1192912437078744,7603.202032281289,63736.46376678192,True,True,2.869187768290272e-17,,,,,False,,,,19.0,True,1.1061307499999202,0.010101791999659326,12345,76.0,4225.0,,,
T1-slope,F1,1,,,0.5,S1_lu,,,,,,,,,,,,,,,,,,,12345,,,l2,0.5322272078149664,0.42653497685155883
T1-slope,F1,1,,,0.5,S1_lu,,,,,,,,,,,,,,,,,,,12345,,,h1,0.19970026278442815,0.28423441028399354
T1-slope,F1,1,,,0.5,S1_lu,,,,,,,,,,,,,,,,,,,12345,,,energy,0.3187526290107368,0.6466347599189664
T1,F1,1,8.0,0.125,0.1,S1_lu,0.08950496645284979,1101.619631784361,12307.91625808476,True,True,1.6524824501469643e-17,,,,,False,0.012056130926399263,0.20412287077399205,0.27432249955676563,0.0,True,0.09272154099971885,0.00017933299977812567,12345,31.0,81.0,,,
T1,F1,1,8.0,0.125,0.1,S2_cg_jacobi,0.08950496645284979,1101.619631784361,12307.91625808476,True,True,1.6524824501469643e-17,,,,,False,,,,32.0,True,0.09272154099971885,0.0010798339999382733,12345,31.0,81.0,,,
